ResourceID,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Bibliographic Reference,Copyright Description,Copyright Type,Date of Creation,Date of Publication,Description,Description Type,Document,External Identifier Type,External Source,External XRef,Geometry Qualifier,Information Carrier,Information Carrier Format Type,Information Resource Type,Keyword,Language_Type,Place Address,Place Description,Primary Reference Number,Spatial Coordinates Geometry,Temporal Coverage Timespan,Title,Title Type
049f0560-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,,,,2019-08-19,,,,,Listed building,Government of Jersey,HE0077,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"Northfields, Byron Lane",,0400077,GEOMETRYCOLLECTION (POINT (-2.101535 49.189857)),,Northfields,
064667b0-116c-0138-9144-740f24312a1c,Postal Address,St. Martin,Parish,"Blackstone, C. & Le Quesne, K. 1999. St Martin, Jersey. The Story of an Island Parish. Phillimore, Chichester.  Stevens, C. 1977. Windmills, Water-Mills and Streams of Jersey. [Unpublished research]",,,2020-03-06,,,,,Listed building,Government of Jersey,MN0283,,1. Government of Jersey 2. Jersey Archive 3. Société Jersiaise ,,"1. Listing photographs, Historic Environment Resurvey 2. Photographs (L/A/75/A3/5/3641) 3. Sites and Monuments Database","Mill,Richmond Map",,"Le Moulin de la Perrelle (Mill Farm), La Rue du Moulin",,0700283,GEOMETRYCOLLECTION (POINT (-2.031458 49.219102)),,Le Moulin de la Perrelle (Mill Farm),
fca90fc0-149c-0138-c577-740f24312a1c,Postal Address,St. Ouen,Parish,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 13.09.2018) Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.",,,2018-12-19,,,,,Listed building,Government of Jersey,OU0204,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",Richmond Map,,"Pres de L'Eglise, La Ville de L'Église",,0900204,GEOMETRYCOLLECTION (POINT (-2.205886 49.225838)),,Pres de L'Eglise,
0bf2af70-116c-0138-9147-740f24312a1c,Postal Address,St. Lawrence,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2018-06-28,,,,,Listed building,Government of Jersey,LA0033,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"Maranham, La Rue de Bas",,0600033,GEOMETRYCOLLECTION (POINT (-2.138403 49.204923)),,Maranham,
8b8a6110-1498-0138-c571-740f24312a1c,Postal Address,St. Clement,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Leerson, M. 2015. What's Your Street's Story?: Le Hocq & Pontac. [Unpublished talk]",,,2018-03-12,,,,,Listed building,Government of Jersey,CL0102,,1. Government of Jersey 2. Jersey Archive,,"1. Listing photographs, Historic Environment Resurvey 2. Report (D/AL/C2/690) ",,,"Sandringham, La Rue du Hocq",,0200102,GEOMETRYCOLLECTION (POINT (-2.061534 49.168154)),,Sandringham,
fca7d430-149c-0138-c577-740f24312a1c,Postal Address,St. Ouen,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey.",,,2018-12-19,,,,,Listed building,Government of Jersey,OU0162,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"La Pointe , La Rue de la Pointe",,0900162,GEOMETRYCOLLECTION (POINT (-2.200041 49.229739)),,La Pointe ,
84f57c90-1168-0138-913b-740f24312a1c,Postal Address,Grouville,Parish,"Anthony, R. 2001. Grouville, Jersey. The History of a Country Parish. Parish of Grouville, Jersey. Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 20.12.2018)  Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. Stevens, C. 1977. The Vanished Chapels and Priories of Jersey. [Unpublished research] Stevens, J. 1980. Old Jersey Houses, Volume One. Fourth ed. Phillimore, London.",,,2020-08-02,,,,,Listed building,Government of Jersey,GR0011,,1. Government of Jersey 2. Société Jersiaise 3. Jersey Heritage Archaeology collection,,"1. Listing photographs, Historic Environment Resurvey 2. Sites and Monuments Database 3. Artefacts (A/0003014)",Richmond Map,,"Le Catillon de Haut, Le Câtillon",,0300011,GEOMETRYCOLLECTION (POINT (-2.054918 49.192639)),,Le Catillon de Haut,
04d92a80-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,,,,2019-11-04,,,,,Listed building,Government of Jersey,HE1841,,1. Government of Jersey 2. Jersey Archive,,"1. Listing photographs, Historic Environment Resurvey 2. Plans (D/AP1/A1060/217(2)), photographs (L/A/75/A3/5/4359)",,,"Sun Bowls Club, La Route es Nouaux",,0401841,GEOMETRYCOLLECTION (POINT (-2.126314 49.195376)),,Sun Bowls Club,
04bf5b70-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,,,,2019-09-11,,,,,Listed building,Government of Jersey,HE0966,,1. Government of Jersey ,,"1. Listing photographs, Historic Environment Resurvey ",,,"31½, Green Street",,0400966,GEOMETRYCOLLECTION (POINT (-2.104435 49.179311)),,31½,
298c03c0-1168-0138-9135-740f24312a1c,Postal Address,St. Saviour,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2020-01-04,,,,,Listed building,Government of Jersey,SA0025,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"2 Belgreve Terrace, Dicq Road",,1100025,GEOMETRYCOLLECTION (POINT (-2.095684 49.178434)),,2 Belgreve Terrace,
