ResourceID,Activity Type,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Cadastral Reference,Description,Description Type,End Date of Existence,End Date Type,External Identifier Type,External Source,External XRef,From Date,Geometry Qualifier,Keyword,Name,Name Type,Place Address,Place Description,Primary Reference Number,Spatial Coordinates Geometry,Start Date of Existence,Start Date Type,To Date
4689afc0-116c-0138-9149-740f24312a1c,,Postal Address,St. John,Parish,,,,,,Listed building,Government of Jersey,JN0033,,,Richmond Map,La Mottée,,"La Mottée, La Rue du Muet",,0500033,GEOMETRYCOLLECTION (POINT (-2.150272 49.239912)),,,
0446dc00-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0074,,,,61,,"61, Le Vier Mont",,0400074,GEOMETRYCOLLECTION (POINT (-2.099802 49.195219)),,,
2eef0830-1168-0138-9137-740f24312a1c,,Postal Address,St. Peter,Parish,,,,,,Listed building,Government of Jersey,PE0126,,,Richmond Map,Uplands,,"Uplands, La Route de Beaumont",,1000126,GEOMETRYCOLLECTION (POINT (-2.175964 49.209007)),,,
2eed84a0-1168-0138-9137-740f24312a1c,,Postal Address,St. Peter,Parish,,,,,,Listed building,Government of Jersey,PE0078,,,,Haverford House,,"Haverford House, Les Grupieaux",,1000078,GEOMETRYCOLLECTION (POINT (-2.158888 49.202947)),,,
84d93bc0-1168-0138-913a-740f24312a1c,,Postal Address,Grouville,Parish,,,,,,Listed building,Government of Jersey,GR0159,,,,Campbell House,,"Campbell House, Le Vier Mont",,0300159,GEOMETRYCOLLECTION (POINT (-2.068662 49.182806)),,,
0bd98800-116c-0138-9146-740f24312a1c,Conservation Statement,Postal Address,St. Lawrence,Parish,,Hamptonne Conservation Statement by Roger Hills of the Jersey Heritage Trust (2017). ,Conservation Statement,,,Listed building,Government of Jersey,LA0122/LA0123,,,"Manor House,Richmond Map",Hamptonne,,"Hamptonne, La Rue de la Patente",,0600123,GEOMETRYCOLLECTION (POINT (-2.134685 49.224157)),,,
6e0aafb4-8669-11eb-8701-0275d4869ef4,Archaeological Excavation,Postal Address,St. Helier,Parish,,"This site was excavated as part of archaeological fieldwork in the town of St Helier, led by Margaret Finlaison in the 1970s-1990s. The investigations were written up in a report by Charlotte Hotton in 1996.  One trench was excavated in 1971 at 54 King Street, the site of Marks and Spencer. This was in conjunction with two trenches at 58 King Street excavated in December 1976 (0401276, 0401277). These test trenches were opened around the perimeter of shops which were being demolished for the construction of Marks and Spencer.  A 13th-14th century building was found in the centre of the site, a 15th-16th century building was found nearby and an 18th century building was found on the road. The trench to the rear uncovered the demolition of a building dating to between 1700 and 1750, overlaid by sand containing 16th century Beauvais pottery on traces of a clay spread. Sand below contained medieval pottery, bone, shell and charcoal. The environment was sand. ",Archaeological Excavation,,,,,,1971,,,54 King Street,,54 King Street,,0401273,GEOMETRYCOLLECTION (POINT (-2.108218 49.18521)),,,1971
061c0ec0-116c-0138-9143-740f24312a1c,,Postal Address,St. Martin,Parish,,,,,,Listed building,Government of Jersey,MN0020,,,,Neptune,,"Neptune, Gorey Pier",,0700020,GEOMETRYCOLLECTION (POINT (-2.02113 49.20004)),,,
0bd67420-116c-0138-9146-740f24312a1c,,Postal Address,St. Lawrence,Parish,,,,,,Listed building,Government of Jersey,LA0159,,,,Vielle Demeuthe,,"Vielle Demeuthe, La Vallée de St Pierre",,0600159,GEOMETRYCOLLECTION (POINT (-2.14866 49.199394)),,,
b36669b0-149f-0138-c579-740f24312a1c,,Postal Address,Trinity,Parish,,,,,,Listed building,Government of Jersey,TR0027,,,,La Mare,,"La Mare, La Rue du Douet",,1200027,GEOMETRYCOLLECTION (POINT (-2.109193 49.216681)),,,
0bd51310-116c-0138-9146-740f24312a1c,,Postal Address,St. Lawrence,Parish,,,,,,Listed building,Government of Jersey,LA0114,,,,Abbey Gate ,,"Abbey Gate , La Route de l'Église",,0600114,GEOMETRYCOLLECTION (POINT (-2.142394 49.214562)),,,
296dfc80-1168-0138-9134-740f24312a1c,,Postal Address,St. Saviour,Parish,,,,,,Listed building,Government of Jersey,SA0119,,,,La Retraite,,"La Retraite, Bagot Road",,1100119,GEOMETRYCOLLECTION (POINT (-2.087471 49.181099)),,,
505f5650-116c-0138-914f-740f24312a1c,,Postal Address,St. Brelade,Parish,,,,,,Listed building,Government of Jersey,BR0338,,,Richmond Map,Vine Cottage,,"Vine Cottage, Le Mont les Vaux",,0100338,GEOMETRYCOLLECTION (POINT (-2.174998 49.188469)),,,
b36d8310-149f-0138-c579-740f24312a1c,,Postal Address,Trinity,Parish,,,,,,,,,,,,Brookvale (Arch) ,,"Brookvale (Arch) , La Rue du Hurel",,1200025,GEOMETRYCOLLECTION (POINT (-2.089133 49.223265)),,,
0bd87f00-116c-0138-9146-740f24312a1c,,Postal Address,St. Lawrence,Parish,,,,,,Listed building,Government of Jersey,LA0247,,,Richmond Map,Les Arbres,,"Les Arbres, La Rue de la Ville au Bas",,0600247,GEOMETRYCOLLECTION (POINT (-2.156733 49.21644)),,,
f15be250-1168-0138-9140-740f24312a1c,,Field Number,St. Mary ,Parish,,,,,,,,,,,,Lithic Scatter,,"Lithic Scatter, Field MY170",,0800192,GEOMETRYCOLLECTION (POINT (-2.166071 49.251561)),,,
048564c0-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,,,,,,,Cottage Farm,,"Cottage Farm, La Grand Route de St Jean",,0400546,GEOMETRYCOLLECTION (POINT (-2.112736 49.207109)),,,
