ResourceID,Administrative Subdivision Type,External Identifier Type,End Date of Existence,Place Description,End Date Type,Description Type,Place Address,Activity Type,Spatial Coordinates Geometry,Address Type,Keyword,Name Type,Administrative Subdivision Name,Description,To Date,Start Date Type,Name,Primary Reference Number,From Date,Geometry Qualifier,Start Date of Existence,External Source,External XRef,Cadastral Reference
04555a70-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"3, Stopford Road",,GEOMETRYCOLLECTION (POINT (-2.102695 49.189268)),Postal Address,,,St. Helier,,,,3,0400462,,,,Government of Jersey,HE0462,
50632440-116c-0138-914f-740f24312a1c,Parish,,,,,,"Bronze Age Assemblage, Field B422",,GEOMETRYCOLLECTION (POINT (-2.234508 49.184217)),Field Number,,,St. Brelade,,,,Bronze Age Assemblage,0100432,,,,,,
04744690-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"Snow Hill Railway Bridge, Regent Road",,GEOMETRYCOLLECTION (POINT (-2.10358 49.18088)),Postal Address,Railway,,St. Helier,,,,Snow Hill Railway Bridge,0401355,,,,Government of Jersey,HE1355,
84d72610-1168-0138-913a-740f24312a1c,Parish,Listed building,,,,,"Café Poste, La Rue de la Ville ès Renauds",,GEOMETRYCOLLECTION (POINT (-2.039564 49.18886)),Postal Address,,,Grouville,,,,Café Poste,0300085,,,,Government of Jersey,GR0085,
fc894a30-149c-0138-c576-740f24312a1c,Parish,Area of Archaeological Potential,,,,,"Les Hougues, Field O1126",,GEOMETRYCOLLECTION (POINT (-2.227432 49.238269)),Field Number,,,St. Ouen,,,,Les Hougues,0900144,,,,Government of Jersey,OU0234,
045b32b0-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"Inglehurst, Nelson Avenue",,GEOMETRYCOLLECTION (POINT (-2.099438 49.178545)),Postal Address,,,St. Helier,,,,Inglehurst,0400619,,,,Government of Jersey,HE0619,
04793010-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"2, Sand Street",,GEOMETRYCOLLECTION (POINT (-2.109691 49.185306)),Postal Address,,,St. Helier,,,,2,0401529,,,,Government of Jersey,HE1529,
84dcc850-1168-0138-913a-740f24312a1c,Parish,Listed building,,,,,"Milestone 'G2', Le Vier Mont",,GEOMETRYCOLLECTION (POINT (-2.067587 49.182789)),Postal Address,,,Grouville,,,,Milestone 'G2',0300116,,,,Government of Jersey,GR0116,
5059deb0-116c-0138-914f-740f24312a1c,Parish,Listed building,,,,,"Batterie Roon, Gun Emplacement, Le Clos d'Avoine",,GEOMETRYCOLLECTION (POINT (-2.218713 49.18015)),Postal Address,German Occupation,,St. Brelade,,,,"Batterie Roon, Gun Emplacement",0100194,,,,Government of Jersey,BR0194,
04730100-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"10, Pomona Road",,GEOMETRYCOLLECTION (POINT (-2.109167 49.189472)),Postal Address,,,St. Helier,,,,10,0401314,,,,Government of Jersey,HE1314,
0625cad0-116c-0138-9143-740f24312a1c,Parish,Listed building,,,,,"St Martin's Parish Church, La Rue de la Croix au Maitre",,GEOMETRYCOLLECTION (POINT (-2.050861 49.218432)),Postal Address,"Richmond Map,Place of Worship",,St. Martin,,,,St Martin's Parish Church,0700086,,,,Government of Jersey,MN0086,
0bd0c0e0-116c-0138-9146-740f24312a1c,Parish,Listed building,,,,,"Highview Farm, La Route de St Jean",,GEOMETRYCOLLECTION (POINT (-2.125999 49.217117)),Postal Address,,,St. Lawrence,,,,Highview Farm,0600001,,,,Government of Jersey,LA0001,
0472ed20-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"3, Pomona Lane",,GEOMETRYCOLLECTION (POINT (-2.109032 49.189658)),Postal Address,,,St. Helier,,,,3,0401312,,,,Government of Jersey,HE1312,
29705330-1168-0138-9134-740f24312a1c,Parish,Listed building,,,,,"Hamlet Farm, Le Rue de la Hambye",,GEOMETRYCOLLECTION (POINT (-2.058559 49.203559)),Postal Address,Richmond Map,,St. Saviour,,,,Hamlet Farm,1100193,,,,Government of Jersey,SA0193,
046ee330-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"Mont Surat, Don Road",,GEOMETRYCOLLECTION (POINT (-2.097903 49.181305)),Postal Address,,,St. Helier,,,,Mont Surat,0401197,,,,Government of Jersey,HE1197,
b3661ba0-149f-0138-c579-740f24312a1c,Parish,Listed building,,,,,"Alfriston House, La Route d'Ebenezer",,GEOMETRYCOLLECTION (POINT (-2.107828 49.240511)),Postal Address,,,Trinity,,,,Alfriston House,1200020,,,,Government of Jersey,TR0020,
0464d940-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"6, La Colomberie",,GEOMETRYCOLLECTION (POINT (-2.102734 49.183296)),Postal Address,,,St. Helier,,,,6,0400898,,,,Government of Jersey,HE0898,
b36bd9c0-149f-0138-c579-740f24312a1c,Parish,Listed building,,Badly eroded and stone broken below inscription. ,,,"Milestone '5' , Les Charrières du Boulay ",,GEOMETRYCOLLECTION (POINT (-2.082152 49.238354)),Postal Address,,,Trinity,,,,Milestone '5' ,1200120,,,,Government of Jersey,TR0120,
045deb20-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"94 , Great Union Road",,GEOMETRYCOLLECTION (POINT (-2.108204 49.190367)),Postal Address,,,St. Helier,,,,94 ,0400699,,,,Government of Jersey,HE0699,
0448c560-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"Percy Villa, Clairvale Road",,GEOMETRYCOLLECTION (POINT (-2.106933 49.192373)),Postal Address,,,St. Helier,,,,Percy Villa,0400122,,,,Government of Jersey,HE0122,
29778e20-1168-0138-9134-740f24312a1c,Parish,,,,,,"Datestone '1845', La Fosse à l'Ecrivain",,GEOMETRYCOLLECTION (POINT (-2.073421 49.207136)),Postal Address,,,St. Saviour,,,,Datestone '1845',1100329,,,,,,
468e8540-116c-0138-9149-740f24312a1c,Parish,Listed building,,,,,"Epsom Lodge, La Grande Route de St. Jean",,GEOMETRYCOLLECTION (POINT (-2.113772 49.224373)),Postal Address,,,St. John,,,,Epsom Lodge,0500147,,,,Government of Jersey,JN0147,
fc8e0e30-149c-0138-c576-740f24312a1c,Parish,,,,,Archaeological Evaluation,"West Lynn Flint Scatter, Fields O1827, O1828",Archaeological Evaluation,GEOMETRYCOLLECTION (POINT (-2.206454 49.222937)),Field Number,,,St. Ouen,Waterhouse undertook an investigation at West Lynn in the carpark. He surveyed a long section of the digout for the carpark. This was sparked from initial finds discovered by building work at the property. ,,,West Lynn Flint Scatter,0900403,,,,,,
0460a790-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"11, Bath Street",,GEOMETRYCOLLECTION (POINT (-2.102765 49.184315)),Postal Address,,,St. Helier,,,,11,0400786,,,,Government of Jersey,HE0786,
0488b0a0-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,Archaeological Evaluation,"Jersey College for Girls, Rouge Bouillon",Archaeological Evaluation,GEOMETRYCOLLECTION (POINT (-2.103187 49.19358)),Postal Address,,,St. Helier,Museum of London Archaeology were commissioned by Jersey Development Company to undertake a watching brief in the area of the new attenuation tank. Mid-late 19th century features were discovered including a cluster of at least 10 quarry pits possibly associated with brickfields that existed on the site and a roadway. The infill of the features were made up rubbish/clearance material from a kiln also likely to be associated with the brickworks.,,,Jersey College for Girls,0401389.2,,,,Government of Jersey,HE1389,
044c93b0-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"35, Great Union Road",,GEOMETRYCOLLECTION (POINT (-2.107005 49.188611)),Postal Address,,,St. Helier,,,,35,0400225,,,,Government of Jersey,HE0225,
468a5d80-116c-0138-9149-740f24312a1c,Parish,Listed building,,,,,"La Patience, La Route du Mont Mado",,GEOMETRYCOLLECTION (POINT (-2.12129 49.24401)),Postal Address,Richmond Map,,St. John,,,,La Patience,0500048,,,,Government of Jersey,JN0048,
46915390-116c-0138-9149-740f24312a1c,Parish,,,,,,"Domaine de la Vallette, La Rue du Sorel",,GEOMETRYCOLLECTION (POINT (-2.160917 49.25147)),Postal Address,Richmond Map,,St. John,,,,Domaine de la Vallette,0500231,,,,,,
29784d00-1168-0138-9134-740f24312a1c,Parish,,,,,Fieldwalking Survey,"Artefact Scatter, Field S441",Fieldwalking Survey,GEOMETRYCOLLECTION (POINT (-2.063424 49.2013)),Field Number,,,St. Saviour,Fieldwalk undertaken using linewalk approximately 10m apart and longitudinally divided into 4 (A-D).,,,Artefact Scatter,1100373,,,,,,
505b49a0-116c-0138-914f-740f24312a1c,Parish,Listed building,,,,,"Villa Devereux, La Route Orange",,GEOMETRYCOLLECTION (POINT (-2.208874 49.187615)),Postal Address,,,St. Brelade,,,,Villa Devereux,0100230,,,,Government of Jersey,BR0230,
fc848370-149c-0138-c576-740f24312a1c,Parish,Listed building,,,,,"Batterie Moltke, La Route des Landes",,GEOMETRYCOLLECTION (POINT (-2.248739 49.245944)),Postal Address,German Occupation,,St. Ouen,,,,Batterie Moltke,0900091,,,,Government of Jersey,OU0091,
0bdc3fb0-116c-0138-9146-740f24312a1c,Parish,,,,,,"Site of Conway Tower St Aubin No. 2, Victoria Avenue",,GEOMETRYCOLLECTION (POINT (-2.146034 49.197179)),Postal Address,Coastal Fortification,,St. Lawrence,,,,Site of Conway Tower St Aubin No. 2,0600277,,,,,,
